Title,Price,Rating,Colors,Size,Gender,Timestamp
T-shirt 2,1634400.0,3.9,3,M,Women,2025-05-12T22:15:54.017497
Hoodie 3,7950080.0,4.8,3,L,Unisex,2025-05-12T22:15:54.017634
Pants 4,7476960.0,3.3,3,XL,Men,2025-05-12T22:15:54.017756
Outerwear 5,5145440.0,3.5,3,XXL,Women,2025-05-12T22:15:54.017877
Jacket 6,2453920.0,3.3,3,S,Unisex,2025-05-12T22:15:54.018003
Crewneck 7,6892000.0,4.3,3,M,Men,2025-05-12T22:15:54.018121
T-shirt 8,7802560.0,3.1,3,L,Women,2025-05-12T22:15:54.018240
Hoodie 9,3972160.0,3.2,3,XL,Unisex,2025-05-12T22:15:54.018360
Pants 10,3100160.0,4.2,3,XXL,Men,2025-05-12T22:15:54.018480
Jacket 12,8527840.0,3.9,3,M,Unisex,2025-05-12T22:15:54.018716
Crewneck 13,5447200.0,3.2,3,L,Men,2025-05-12T22:15:54.018846
T-shirt 14,3248800.0,3.8,3,XL,Women,2025-05-12T22:15:54.018965
Hoodie 15,2184160.0,3.6,3,XXL,Unisex,2025-05-12T22:15:54.019084
Outerwear 17,841600.0,3.8,3,M,Women,2025-05-12T22:15:54.019326
Jacket 18,5500000.0,3.8,3,L,Unisex,2025-05-12T22:15:54.019446
Crewneck 19,1308960.0,3.6,3,XL,Men,2025-05-12T22:15:54.019564
T-shirt 20,1325600.0,3.4,3,XXL,Women,2025-05-12T22:15:54.019678
Pants 22,4319680.0,4.9,3,M,Men,2025-05-12T22:15:54.344311
Outerwear 23,4655840.0,3.7,3,L,Women,2025-05-12T22:15:54.344447
Jacket 24,8223520.0,3.9,3,XL,Unisex,2025-05-12T22:15:54.344569
Crewneck 25,8322559.999999999,3.3,3,XXL,Men,2025-05-12T22:15:54.344697
T-shirt 26,7292320.0,4.6,3,S,Women,2025-05-12T22:15:54.344815
Hoodie 27,3551840.0,4.8,3,M,Unisex,2025-05-12T22:15:54.344931
Pants 28,5216160.0,4.0,3,L,Men,2025-05-12T22:15:54.345047
Outerwear 29,861600.0,3.1,3,XL,Women,2025-05-12T22:15:54.345166
Jacket 30,8610240.0,3.7,3,XXL,Unisex,2025-05-12T22:15:54.345282
T-shirt 32,6657920.0,3.4,3,M,Women,2025-05-12T22:15:54.345514
Hoodie 33,7248160.0,3.5,3,L,Unisex,2025-05-12T22:15:54.345631
Pants 34,8362719.999999999,3.8,3,XL,Men,2025-05-12T22:15:54.345754
Outerwear 35,1356160.0,3.8,3,XXL,Women,2025-05-12T22:15:54.345871
Jacket 36,7249280.0,3.7,3,S,Unisex,2025-05-12T22:15:54.345988
Crewneck 37,6006080.0,4.0,3,M,Men,2025-05-12T22:15:54.346104
T-shirt 38,4866080.0,3.2,3,L,Women,2025-05-12T22:15:54.346219
Hoodie 39,6431200.0,4.6,3,XL,Unisex,2025-05-12T22:15:54.346336
Pants 40,5853600.0,3.1,3,XXL,Men,2025-05-12T22:15:54.346452
Jacket 42,6744160.0,3.7,3,M,Unisex,2025-05-12T22:15:54.719081
Crewneck 43,2909600.0,4.5,3,L,Men,2025-05-12T22:15:54.719216
T-shirt 44,3312320.0,3.0,3,XL,Women,2025-05-12T22:15:54.719334
Hoodie 45,8693120.0,4.5,3,XXL,Unisex,2025-05-12T22:15:54.719455
Outerwear 47,6364640.0,3.2,3,M,Women,2025-05-12T22:15:54.719694
Jacket 48,4994720.0,3.4,3,L,Unisex,2025-05-12T22:15:54.719812
Crewneck 49,1071200.0,4.0,3,XL,Men,2025-05-12T22:15:54.719940
T-shirt 50,5932960.0,3.1,3,XXL,Women,2025-05-12T22:15:54.720060
Pants 52,1596480.0,4.0,3,M,Men,2025-05-12T22:15:54.720299
Outerwear 53,4470880.0,4.3,3,L,Women,2025-05-12T22:15:54.720418
Jacket 54,854560.0,4.2,3,XL,Unisex,2025-05-12T22:15:54.720540
Crewneck 55,1793760.0,3.6,3,XXL,Men,2025-05-12T22:15:54.720662
T-shirt 56,4643040.0,3.8,3,S,Women,2025-05-12T22:15:54.720783
Hoodie 57,3155360.0,4.9,3,M,Unisex,2025-05-12T22:15:54.720904
Pants 58,1637760.0,4.4,3,L,Men,2025-05-12T22:15:54.721042
